State,District,Market,Crop,Date,Min_Price_Rs_per_Quintal,Max_Price_Rs_per_Quintal,Modal_Price_Rs_per_Quintal
Andhra Pradesh,Guntur,Central Mandi,Maize,2021-09-01,1563.59,1835.52,1699.56
Andhra Pradesh,Guntur,Central Mandi,Maize,2021-10-01,1535.97,1803.1,1669.54
Andhra Pradesh,Guntur,Main Market,Maize,2021-11-01,1691.34,1985.49,1838.41
Andhra Pradesh,Guntur,Main Market,Maize,2021-12-01,1804.94,2118.84,1961.89
Andhra Pradesh,Guntur,Agricultural Market,Maize,2022-01-01,1804.21,2117.99,1961.1
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-02-01,1776.0,2084.87,1930.43
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-03-01,1902.64,2233.53,2068.09
Andhra Pradesh,Guntur,Agricultural Market,Maize,2022-04-01,2235.88,2624.72,2430.3
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-05-01,2137.31,2509.02,2323.17
Andhra Pradesh,Guntur,Agricultural Market,Maize,2022-06-01,1914.84,2247.85,2081.34
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-07-01,1946.95,2285.55,2116.25
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-08-01,1932.69,2268.8,2100.74
Andhra Pradesh,Guntur,Agricultural Market,Maize,2022-09-01,1473.92,1730.25,1602.09
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-10-01,1562.17,1833.85,1698.01
Andhra Pradesh,Guntur,Main Market,Maize,2022-11-01,1543.24,1811.62,1677.43
Andhra Pradesh,Guntur,Central Mandi,Maize,2022-12-01,1813.47,2128.85,1971.16
Andhra Pradesh,Guntur,Agricultural Market,Maize,2023-01-01,1921.75,2255.96,2088.85
Andhra Pradesh,Guntur,Central Mandi,Maize,2023-02-01,1925.85,2260.78,2093.32
Andhra Pradesh,Guntur,Central Mandi,Maize,2023-03-01,1959.54,2300.33,2129.93
Andhra Pradesh,Guntur,Agricultural Market,Maize,2023-04-01,2036.72,2390.93,2213.83
Andhra Pradesh,Guntur,Central Mandi,Maize,2023-05-01,1923.68,2258.23,2090.95
Andhra Pradesh,Guntur,Central Mandi,Maize,2023-06-01,1759.19,2065.14,1912.17
Andhra Pradesh,Guntur,Main Market,Maize,2023-07-01,1832.88,2151.64,1992.26
Andhra Pradesh,Guntur,Agricultural Market,Maize,2023-08-01,1897.47,2227.46,2062.46
Andhra Pradesh,Guntur,Agricultural Market,Maize,2023-09-01,1651.02,1938.15,1794.59
Andhra Pradesh,Guntur,Agricultural Market,Maize,2023-10-01,1748.24,2052.28,1900.26
Andhra Pradesh,Guntur,Main Market,Maize,2023-11-01,1683.45,1976.22,1829.83
Andhra Pradesh,Guntur,Central Mandi,Maize,2023-12-01,1742.15,2045.13,1893.64
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-01-01,1846.63,2167.78,2007.21
Andhra Pradesh,Guntur,Central Mandi,Maize,2024-02-01,1866.98,2191.67,2029.33
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-03-01,2083.79,2446.19,2264.99
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-04-01,2303.68,2704.32,2504.0
Andhra Pradesh,Guntur,Central Mandi,Maize,2024-05-01,2263.49,2657.14,2460.31
Andhra Pradesh,Guntur,Central Mandi,Maize,2024-06-01,1866.97,2191.66,2029.32
Andhra Pradesh,Guntur,Central Mandi,Maize,2024-07-01,1818.67,2134.96,1976.81
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-08-01,1728.65,2029.28,1878.97
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-09-01,1879.32,2206.15,2042.74
Andhra Pradesh,Guntur,Main Market,Maize,2024-10-01,1625.2,1907.84,1766.52
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-11-01,1599.09,1877.19,1738.14
Andhra Pradesh,Guntur,Agricultural Market,Maize,2024-12-01,1648.59,1935.3,1791.95
Andhra Pradesh,Guntur,Central Mandi,Maize,2025-01-01,1898.36,2228.51,2063.43
Andhra Pradesh,Guntur,Agricultural Market,Maize,2025-02-01,2168.41,2545.52,2356.96
Andhra Pradesh,Guntur,Main Market,Maize,2025-03-01,2176.16,2554.62,2365.39
Andhra Pradesh,Guntur,Central Mandi,Maize,2025-04-01,1991.01,2337.27,2164.14
Andhra Pradesh,Guntur,Main Market,Maize,2025-05-01,2121.99,2491.04,2306.52
Andhra Pradesh,Guntur,Main Market,Maize,2025-06-01,2199.82,2582.39,2391.1
Andhra Pradesh,Guntur,Main Market,Maize,2025-07-01,1983.21,2328.12,2155.66
Andhra Pradesh,Guntur,Main Market,Maize,2025-08-01,1814.29,2129.82,1972.06
Andhra Pradesh,Guntur,Agricultural Market,Maize,2025-09-01,1595.32,1872.77,1734.05
Andhra Pradesh,Guntur,Agricultural Market,Maize,2025-10-01,1643.32,1929.12,1786.22
Andhra Pradesh,Guntur,Agricultural Market,Maize,2025-11-01,1688.23,1981.84,1835.04
Andhra Pradesh,Guntur,Agricultural Market,Maize,2025-12-01,1953.87,2293.67,2123.77
Andhra Pradesh,Guntur,Main Market,Cotton,2020-01-01,6095.76,7155.9,6625.83
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2020-02-01,5979.21,7019.07,6499.14
Andhra Pradesh,Guntur,Central Mandi,Cotton,2020-03-01,7317.86,8590.53,7954.19
Andhra Pradesh,Guntur,Main Market,Cotton,2020-04-01,7624.89,8950.96,8287.92
Andhra Pradesh,Guntur,Main Market,Cotton,2020-05-01,6408.69,7523.25,6965.97
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2020-06-01,5914.69,6943.33,6429.01
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2020-07-01,5546.02,6510.55,6028.29
Andhra Pradesh,Guntur,Central Mandi,Cotton,2020-08-01,5778.0,6782.87,6280.43
Andhra Pradesh,Guntur,Central Mandi,Cotton,2020-09-01,5658.33,6642.39,6150.36
Andhra Pradesh,Guntur,Central Mandi,Cotton,2020-10-01,5794.54,6802.29,6298.42
Andhra Pradesh,Guntur,Main Market,Cotton,2020-11-01,5470.45,6421.84,5946.15
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2020-12-01,5864.01,6883.84,6373.92
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2021-01-01,6555.49,7695.58,7125.53
Andhra Pradesh,Guntur,Main Market,Cotton,2021-02-01,6725.28,7894.9,7310.09
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2021-03-01,7048.76,8274.63,7661.69
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2021-04-01,6928.66,8133.64,7531.15
Andhra Pradesh,Guntur,Central Mandi,Cotton,2021-05-01,6844.04,8034.31,7439.18
Andhra Pradesh,Guntur,Central Mandi,Cotton,2021-06-01,6915.99,8118.77,7517.38
Andhra Pradesh,Guntur,Main Market,Cotton,2021-07-01,6620.99,7772.47,7196.73
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2021-08-01,6253.16,7340.67,6796.92
Andhra Pradesh,Guntur,Main Market,Cotton,2021-09-01,6073.14,7129.33,6601.23
Andhra Pradesh,Guntur,Main Market,Cotton,2021-10-01,5781.2,6786.62,6283.91
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2021-11-01,5557.45,6523.96,6040.71
Andhra Pradesh,Guntur,Main Market,Cotton,2021-12-01,6723.17,7892.41,7307.79
Andhra Pradesh,Guntur,Main Market,Cotton,2022-01-01,6603.73,7752.2,7177.96
Andhra Pradesh,Guntur,Main Market,Cotton,2022-02-01,6838.87,8028.24,7433.56
Andhra Pradesh,Guntur,Central Mandi,Cotton,2022-03-01,6556.6,7696.88,7126.74
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2022-04-01,7136.11,8377.17,7756.64
Andhra Pradesh,Guntur,Central Mandi,Cotton,2022-05-01,7412.35,8701.46,8056.9
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2022-06-01,6667.39,7826.94,7247.17
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2022-07-01,5711.96,6705.34,6208.65
Andhra Pradesh,Guntur,Main Market,Cotton,2022-08-01,6868.17,8062.64,7465.41
Andhra Pradesh,Guntur,Main Market,Cotton,2022-09-01,6173.88,7247.6,6710.74
Andhra Pradesh,Guntur,Main Market,Cotton,2022-10-01,5895.38,6920.66,6408.02
Andhra Pradesh,Guntur,Central Mandi,Cotton,2022-11-01,5754.63,6755.44,6255.04
Andhra Pradesh,Guntur,Main Market,Cotton,2022-12-01,5965.19,7002.62,6483.9
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2023-01-01,6779.14,7958.12,7368.63
Andhra Pradesh,Guntur,Central Mandi,Cotton,2023-02-01,7358.2,8637.88,7998.04
Andhra Pradesh,Guntur,Main Market,Cotton,2023-03-01,8553.59,10041.17,9297.38
Andhra Pradesh,Guntur,Central Mandi,Cotton,2023-04-01,7643.36,8972.64,8308.0
Andhra Pradesh,Guntur,Central Mandi,Cotton,2023-05-01,6853.61,8045.54,7449.58
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2023-06-01,7607.86,8930.96,8269.41
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2023-07-01,6898.52,8098.26,7498.39
Andhra Pradesh,Guntur,Main Market,Cotton,2023-08-01,6779.44,7958.48,7368.96
Andhra Pradesh,Guntur,Central Mandi,Cotton,2023-09-01,5872.85,6894.22,6383.53
Andhra Pradesh,Guntur,Central Mandi,Cotton,2023-10-01,5464.99,6415.42,5940.21
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2023-11-01,6275.65,7367.07,6821.36
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2023-12-01,6446.47,7567.6,7007.03
Andhra Pradesh,Guntur,Main Market,Cotton,2024-01-01,6255.74,7343.69,6799.72
Andhra Pradesh,Guntur,Main Market,Cotton,2024-02-01,7400.66,8687.73,8044.19
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2024-03-01,7816.03,9175.34,8495.69
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2024-04-01,8341.31,9791.97,9066.64
Andhra Pradesh,Guntur,Main Market,Cotton,2024-05-01,8099.62,9508.25,8803.94
Andhra Pradesh,Guntur,Central Mandi,Cotton,2024-06-01,7432.2,8724.76,8078.48
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2024-07-01,7441.76,8735.98,8088.87
Andhra Pradesh,Guntur,Central Mandi,Cotton,2024-08-01,6401.32,7514.6,6957.96
Andhra Pradesh,Guntur,Main Market,Cotton,2024-09-01,5930.96,6962.43,6446.7
Andhra Pradesh,Guntur,Main Market,Cotton,2024-10-01,5546.27,6510.84,6028.55
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2024-11-01,6383.42,7493.58,6938.5
Andhra Pradesh,Guntur,Central Mandi,Cotton,2024-12-01,6379.74,7489.26,6934.5
Andhra Pradesh,Guntur,Main Market,Cotton,2025-01-01,7440.16,8734.1,8087.13
Andhra Pradesh,Guntur,Main Market,Cotton,2025-02-01,7677.95,9013.25,8345.6
Andhra Pradesh,Guntur,Central Mandi,Cotton,2025-03-01,7313.61,8585.54,7949.58
Andhra Pradesh,Guntur,Main Market,Cotton,2025-04-01,8360.48,9814.48,9087.48
Andhra Pradesh,Guntur,Main Market,Cotton,2025-05-01,7919.13,9296.37,8607.75
Andhra Pradesh,Guntur,Main Market,Cotton,2025-06-01,7113.84,8351.03,7732.44
Andhra Pradesh,Guntur,Main Market,Cotton,2025-07-01,7204.11,8457.0,7830.56
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2025-08-01,6354.94,7460.14,6907.54
Andhra Pradesh,Guntur,Agricultural Market,Cotton,2025-09-01,6688.23,7851.4,7269.81
Andhra Pradesh,Guntur,Central Mandi,Cotton,2025-10-01,6187.33,7263.39,6725.36
Andhra Pradesh,Guntur,Central Mandi,Cotton,2025-11-01,7269.58,8533.85,7901.72
Andhra Pradesh,Guntur,Central Mandi,Cotton,2025-12-01,6630.16,7783.23,7206.7
Andhra Pradesh,Guntur,Main Market,Groundnut,2020-01-01,5100.96,5988.08,5544.52
Andhra Pradesh,Guntur,Main Market,Groundnut,2020-02-01,5621.04,6598.61,6109.82
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2020-03-01,5313.51,6237.6,5775.55
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2020-04-01,6162.29,7234.0,6698.15
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2020-05-01,5860.05,6879.18,6369.61
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2020-06-01,5665.44,6650.73,6158.08
Andhra Pradesh,Guntur,Main Market,Groundnut,2020-07-01,4603.2,5403.76,5003.48
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2020-08-01,4640.09,5447.06,5043.57
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2020-09-01,4898.01,5749.84,5323.93
Andhra Pradesh,Guntur,Main Market,Groundnut,2020-10-01,4734.44,5557.82,5146.13
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2020-11-01,4908.5,5762.16,5335.33
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2020-12-01,4921.88,5777.85,5349.86
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2021-01-01,4763.68,5592.14,5177.91
Andhra Pradesh,Guntur,Main Market,Groundnut,2021-02-01,5702.64,6694.41,6198.53
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2021-03-01,6210.69,7290.81,6750.75
Andhra Pradesh,Guntur,Main Market,Groundnut,2021-04-01,6516.09,7649.32,7082.7
Andhra Pradesh,Guntur,Main Market,Groundnut,2021-05-01,5490.57,6445.45,5968.01
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2021-06-01,5791.6,6798.84,6295.22
Andhra Pradesh,Guntur,Main Market,Groundnut,2021-07-01,4962.36,5825.38,5393.87
Andhra Pradesh,Guntur,Main Market,Groundnut,2021-08-01,5262.79,6178.06,5720.42
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2021-09-01,4551.72,5343.32,4947.52
Andhra Pradesh,Guntur,Main Market,Groundnut,2021-10-01,4697.27,5514.19,5105.73
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2021-11-01,5217.97,6125.44,5671.7
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2021-12-01,5303.38,6225.7,5764.54
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2022-01-01,5661.25,6645.82,6153.53
Andhra Pradesh,Guntur,Main Market,Groundnut,2022-02-01,5896.3,6921.74,6409.02
Andhra Pradesh,Guntur,Main Market,Groundnut,2022-03-01,6184.29,7259.82,6722.06
Andhra Pradesh,Guntur,Main Market,Groundnut,2022-04-01,6057.43,7110.89,6584.16
Andhra Pradesh,Guntur,Main Market,Groundnut,2022-05-01,6037.3,7087.27,6562.29
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2022-06-01,5708.65,6701.45,6205.05
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2022-07-01,5597.33,6570.78,6084.06
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2022-08-01,4907.85,5761.39,5334.62
Andhra Pradesh,Guntur,Main Market,Groundnut,2022-09-01,4994.27,5862.84,5428.56
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2022-10-01,4424.64,5194.14,4809.39
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2022-11-01,4756.42,5583.62,5170.02
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2022-12-01,5081.79,5965.58,5523.69
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2023-01-01,5740.95,6739.37,6240.16
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2023-02-01,5623.7,6601.74,6112.72
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2023-03-01,6171.77,7245.12,6708.44
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2023-04-01,6516.39,7649.67,7083.03
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2023-05-01,6105.46,7167.28,6636.37
Andhra Pradesh,Guntur,Main Market,Groundnut,2023-06-01,6282.7,7375.35,6829.02
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2023-07-01,5608.2,6583.54,6095.87
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2023-08-01,5193.28,6096.46,5644.87
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2023-09-01,4701.13,5518.72,5109.92
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2023-10-01,4511.24,5295.8,4903.52
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2023-11-01,5048.62,5926.64,5487.63
Andhra Pradesh,Guntur,Main Market,Groundnut,2023-12-01,5152.43,6048.5,5600.46
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2024-01-01,5882.42,6905.45,6393.93
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2024-02-01,6094.99,7154.99,6624.99
Andhra Pradesh,Guntur,Main Market,Groundnut,2024-03-01,5917.43,6946.55,6431.99
Andhra Pradesh,Guntur,Main Market,Groundnut,2024-04-01,6551.36,7690.73,7121.05
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2024-05-01,5989.74,7031.44,6510.59
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2024-06-01,5988.78,7030.31,6509.54
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2024-07-01,5927.31,6958.14,6442.73
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2024-08-01,4788.49,5621.27,5204.88
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2024-09-01,4961.66,5824.55,5393.11
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2024-10-01,5081.51,5965.25,5523.38
Andhra Pradesh,Guntur,Main Market,Groundnut,2024-11-01,5280.11,6198.39,5739.25
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2024-12-01,5472.67,6424.44,5948.56
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2025-01-01,6225.28,7307.94,6766.61
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2025-02-01,5717.59,6711.95,6214.77
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2025-03-01,6813.64,7998.62,7406.13
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2025-04-01,6900.07,8100.08,7500.08
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2025-05-01,6740.61,7912.89,7326.75
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2025-06-01,6106.41,7168.39,6637.4
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2025-07-01,5955.66,6991.42,6473.54
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2025-08-01,5185.0,6086.74,5635.87
Andhra Pradesh,Guntur,Central Mandi,Groundnut,2025-09-01,4882.05,5731.1,5306.57
Andhra Pradesh,Guntur,Agricultural Market,Groundnut,2025-10-01,5323.3,6249.09,5786.2
