State,District,Year,Month,Rainfall_mm,Temperature_C,Humidity_Percent
Andhra Pradesh,Guntur,2024,5,111.4,23.3,63.6
Andhra Pradesh,Guntur,2024,6,67.2,26.2,62.9
Andhra Pradesh,Guntur,2024,7,53.6,26.9,63.6
Andhra Pradesh,Guntur,2024,8,105.7,23.9,62.5
Andhra Pradesh,Guntur,2024,9,158.5,27.3,53.1
Andhra Pradesh,Guntur,2024,10,0.0,27.6,50.8
Andhra Pradesh,Guntur,2024,11,0.0,27.6,56.4
Andhra Pradesh,Guntur,2024,12,33.8,27.0,44.5
Andhra Pradesh,Guntur,2025,1,0.0,29.0,43.5
Andhra Pradesh,Guntur,2025,2,0.0,22.4,71.6
Andhra Pradesh,Guntur,2025,3,42.3,30.4,56.6
Andhra Pradesh,Guntur,2025,4,3.9,29.6,42.5
Andhra Pradesh,Guntur,2025,5,0.0,29.8,44.1
Andhra Pradesh,Guntur,2025,6,93.4,27.6,63.8
Andhra Pradesh,Guntur,2025,7,31.7,23.4,48.4
Andhra Pradesh,Guntur,2025,8,105.7,25.3,71.0
Andhra Pradesh,Guntur,2025,9,76.3,26.3,55.6
Andhra Pradesh,Guntur,2025,10,0.0,19.2,51.0
Andhra Pradesh,Guntur,2025,11,0.0,27.0,49.8
Andhra Pradesh,Guntur,2025,12,34.6,27.0,49.5
Andhra Pradesh,Krishna,2020,1,35.4,27.5,45.1
Andhra Pradesh,Krishna,2020,2,25.9,23.3,45.6
Andhra Pradesh,Krishna,2020,3,0.0,25.0,55.5
Andhra Pradesh,Krishna,2020,4,0.0,26.6,61.5
Andhra Pradesh,Krishna,2020,5,40.7,26.7,68.5
Andhra Pradesh,Krishna,2020,6,166.3,28.1,48.3
Andhra Pradesh,Krishna,2020,7,131.0,19.3,79.8
Andhra Pradesh,Krishna,2020,8,137.9,29.4,70.1
Andhra Pradesh,Krishna,2020,9,87.4,23.9,63.6
Andhra Pradesh,Krishna,2020,10,59.3,26.8,69.0
Andhra Pradesh,Krishna,2020,11,0.0,31.6,62.3
Andhra Pradesh,Krishna,2020,12,0.0,23.7,62.5
Andhra Pradesh,Krishna,2021,1,0.0,25.9,62.6
Andhra Pradesh,Krishna,2021,2,0.0,24.7,54.4
Andhra Pradesh,Krishna,2021,3,10.6,28.8,60.3
Andhra Pradesh,Krishna,2021,4,30.0,27.1,60.1
Andhra Pradesh,Krishna,2021,5,26.7,27.4,44.5
Andhra Pradesh,Krishna,2021,6,45.3,24.7,57.2
Andhra Pradesh,Krishna,2021,7,97.2,21.3,73.2
Andhra Pradesh,Krishna,2021,8,148.1,23.5,54.1
Andhra Pradesh,Krishna,2021,9,75.2,27.1,72.4
Andhra Pradesh,Krishna,2021,10,0.0,28.8,65.8
Andhra Pradesh,Krishna,2021,11,0.0,23.1,50.3
Andhra Pradesh,Krishna,2021,12,7.2,27.4,58.4
Andhra Pradesh,Krishna,2022,1,55.7,26.7,81.7
Andhra Pradesh,Krishna,2022,2,0.0,26.0,37.6
Andhra Pradesh,Krishna,2022,3,0.0,27.8,58.3
Andhra Pradesh,Krishna,2022,4,21.4,26.6,51.9
Andhra Pradesh,Krishna,2022,5,72.9,27.0,82.0
Andhra Pradesh,Krishna,2022,6,127.8,29.1,58.5
Andhra Pradesh,Krishna,2022,7,132.7,23.8,58.4
Andhra Pradesh,Krishna,2022,8,117.9,21.5,61.9
Andhra Pradesh,Krishna,2022,9,99.6,30.5,62.5
Andhra Pradesh,Krishna,2022,10,9.0,26.8,45.1
Andhra Pradesh,Krishna,2022,11,40.5,28.0,52.5
Andhra Pradesh,Krishna,2022,12,60.9,25.7,62.2
Andhra Pradesh,Krishna,2023,1,18.1,24.1,54.3
Andhra Pradesh,Krishna,2023,2,30.3,26.5,59.1
Andhra Pradesh,Krishna,2023,3,0.0,27.8,42.9
Andhra Pradesh,Krishna,2023,4,15.3,27.7,62.8
Andhra Pradesh,Krishna,2023,5,23.9,28.6,61.3
Andhra Pradesh,Krishna,2023,6,143.0,27.7,68.8
Andhra Pradesh,Krishna,2023,7,100.4,23.6,61.8
Andhra Pradesh,Krishna,2023,8,20.5,22.3,40.8
Andhra Pradesh,Krishna,2023,9,143.9,25.5,67.0
Andhra Pradesh,Krishna,2023,10,0.0,25.1,48.2
Andhra Pradesh,Krishna,2023,11,31.1,25.6,48.1
Andhra Pradesh,Krishna,2023,12,0.0,27.4,54.6
Andhra Pradesh,Krishna,2024,1,0.0,24.1,46.9
Andhra Pradesh,Krishna,2024,2,22.6,27.1,54.8
Andhra Pradesh,Krishna,2024,3,107.7,29.1,69.8
Andhra Pradesh,Krishna,2024,4,0.0,27.4,48.8
Andhra Pradesh,Krishna,2024,5,0.0,30.4,50.9
Andhra Pradesh,Krishna,2024,6,73.4,28.5,72.1
Andhra Pradesh,Krishna,2024,7,88.8,25.0,74.0
Andhra Pradesh,Krishna,2024,8,87.4,25.8,54.7
Andhra Pradesh,Krishna,2024,9,56.6,26.5,57.7
Andhra Pradesh,Krishna,2024,10,33.2,24.6,52.1
Andhra Pradesh,Krishna,2024,11,0.0,27.3,68.8
Andhra Pradesh,Krishna,2024,12,35.5,25.8,49.5
Andhra Pradesh,Krishna,2025,1,0.0,24.9,47.2
Andhra Pradesh,Krishna,2025,2,0.0,27.0,61.8
Andhra Pradesh,Krishna,2025,3,0.0,28.6,63.0
Andhra Pradesh,Krishna,2025,4,32.2,25.0,53.1
Andhra Pradesh,Krishna,2025,5,71.4,28.6,72.3
Andhra Pradesh,Krishna,2025,6,112.0,25.9,63.0
Andhra Pradesh,Krishna,2025,7,111.9,27.0,76.8
Andhra Pradesh,Krishna,2025,8,70.0,26.1,77.5
Andhra Pradesh,Krishna,2025,9,65.5,28.7,81.1
Andhra Pradesh,Krishna,2025,10,116.9,25.6,69.9
Andhra Pradesh,Krishna,2025,11,53.9,27.0,77.0
Andhra Pradesh,Krishna,2025,12,52.4,24.7,77.8
Andhra Pradesh,Kurnool,2020,1,0.0,25.0,67.5
Andhra Pradesh,Kurnool,2020,2,0.0,23.3,60.4
Andhra Pradesh,Kurnool,2020,3,38.8,25.8,51.7
Andhra Pradesh,Kurnool,2020,4,0.0,30.5,53.0
Andhra Pradesh,Kurnool,2020,5,87.7,28.2,66.2
Andhra Pradesh,Kurnool,2020,6,88.9,27.4,68.9
Andhra Pradesh,Kurnool,2020,7,187.9,24.2,65.5
Andhra Pradesh,Kurnool,2020,8,102.3,27.7,56.6
Andhra Pradesh,Kurnool,2020,9,115.9,23.0,72.4
Andhra Pradesh,Kurnool,2020,10,7.7,19.2,58.0
Andhra Pradesh,Kurnool,2020,11,37.6,23.6,49.9
Andhra Pradesh,Kurnool,2020,12,0.0,26.9,62.1
Andhra Pradesh,Kurnool,2021,1,0.0,23.7,54.5
Andhra Pradesh,Kurnool,2021,2,104.5,26.4,60.5
Andhra Pradesh,Kurnool,2021,3,35.6,24.6,60.7
Andhra Pradesh,Kurnool,2021,4,83.6,32.2,73.9
Andhra Pradesh,Kurnool,2021,5,4.6,24.7,43.8
Andhra Pradesh,Kurnool,2021,6,1.8,29.7,54.2
Andhra Pradesh,Kurnool,2021,7,131.8,28.6,68.8
Andhra Pradesh,Kurnool,2021,8,105.1,23.8,65.2
Andhra Pradesh,Kurnool,2021,9,125.5,24.6,65.4
Andhra Pradesh,Kurnool,2021,10,24.4,27.2,49.5
Andhra Pradesh,Kurnool,2021,11,22.7,25.6,64.3
Andhra Pradesh,Kurnool,2021,12,16.6,23.2,51.1
Andhra Pradesh,Kurnool,2022,1,61.9,30.1,57.5
Andhra Pradesh,Kurnool,2022,2,0.0,24.6,55.9
Andhra Pradesh,Kurnool,2022,3,52.5,25.8,59.5
Andhra Pradesh,Kurnool,2022,4,29.8,27.4,62.4
Andhra Pradesh,Kurnool,2022,5,42.1,29.4,54.2
Andhra Pradesh,Kurnool,2022,6,182.4,25.9,72.9
Andhra Pradesh,Kurnool,2022,7,55.6,22.3,63.1
Andhra Pradesh,Kurnool,2022,8,157.0,25.7,63.3
Andhra Pradesh,Kurnool,2022,9,113.1,25.1,64.1
Andhra Pradesh,Kurnool,2022,10,0.0,28.6,56.7
Andhra Pradesh,Kurnool,2022,11,101.1,27.4,72.4
Andhra Pradesh,Kurnool,2022,12,9.8,22.3,53.3
Andhra Pradesh,Kurnool,2023,1,0.0,26.6,68.1
Andhra Pradesh,Kurnool,2023,2,15.9,27.4,49.5
Andhra Pradesh,Kurnool,2023,3,14.4,26.0,37.9
Andhra Pradesh,Kurnool,2023,4,23.7,28.3,63.5
Andhra Pradesh,Kurnool,2023,5,52.8,30.0,60.2
Andhra Pradesh,Kurnool,2023,6,116.1,32.0,71.0
Andhra Pradesh,Kurnool,2023,7,164.0,30.0,65.9
Andhra Pradesh,Kurnool,2023,8,75.6,23.1,55.9
Andhra Pradesh,Kurnool,2023,9,81.9,28.0,50.4
Andhra Pradesh,Kurnool,2023,10,0.0,24.7,48.0
Andhra Pradesh,Kurnool,2023,11,6.5,23.7,52.9
Andhra Pradesh,Kurnool,2023,12,0.0,23.0,62.5
Andhra Pradesh,Kurnool,2024,1,61.7,21.5,45.9
Andhra Pradesh,Kurnool,2024,2,62.2,21.9,69.7
Andhra Pradesh,Kurnool,2024,3,0.0,31.2,75.3
Andhra Pradesh,Kurnool,2024,4,31.4,27.8,52.4
Andhra Pradesh,Kurnool,2024,5,52.4,29.4,76.0
Andhra Pradesh,Kurnool,2024,6,78.0,28.9,63.7
Andhra Pradesh,Kurnool,2024,7,63.0,24.9,60.6
Andhra Pradesh,Kurnool,2024,8,141.1,22.8,70.9
Andhra Pradesh,Kurnool,2024,9,78.9,25.7,63.8
Andhra Pradesh,Kurnool,2024,10,0.0,26.2,53.1
Andhra Pradesh,Kurnool,2024,11,35.0,23.9,44.4
Andhra Pradesh,Kurnool,2024,12,62.9,26.8,63.5
Andhra Pradesh,Kurnool,2025,1,27.4,27.6,51.3
Andhra Pradesh,Kurnool,2025,2,14.4,25.6,51.3
Andhra Pradesh,Kurnool,2025,3,55.0,27.6,61.7
Andhra Pradesh,Kurnool,2025,4,46.3,25.1,71.1
Andhra Pradesh,Kurnool,2025,5,80.4,29.3,71.4
Andhra Pradesh,Kurnool,2025,6,113.4,26.8,70.4
Andhra Pradesh,Kurnool,2025,7,67.7,26.3,74.9
Andhra Pradesh,Kurnool,2025,8,86.8,23.5,58.3
Andhra Pradesh,Kurnool,2025,9,151.0,23.7,66.4
Andhra Pradesh,Kurnool,2025,10,35.5,25.7,61.0
Andhra Pradesh,Kurnool,2025,11,11.7,22.2,44.5
Andhra Pradesh,Kurnool,2025,12,4.7,22.6,52.6
Andhra Pradesh,Prakasam,2020,1,70.8,24.1,65.0
Andhra Pradesh,Prakasam,2020,2,24.4,24.0,54.5
Andhra Pradesh,Prakasam,2020,3,43.9,30.2,63.0
Andhra Pradesh,Prakasam,2020,4,97.0,29.4,85.9
Andhra Pradesh,Prakasam,2020,5,0.0,33.2,52.0
Andhra Pradesh,Prakasam,2020,6,90.1,27.7,66.3
Andhra Pradesh,Prakasam,2020,7,103.0,23.5,74.6
Andhra Pradesh,Prakasam,2020,8,80.7,26.6,80.2
Andhra Pradesh,Prakasam,2020,9,87.5,27.0,72.5
Andhra Pradesh,Prakasam,2020,10,103.9,23.7,74.4
Andhra Pradesh,Prakasam,2020,11,0.0,23.8,57.8
Andhra Pradesh,Prakasam,2020,12,73.8,21.9,74.3
Andhra Pradesh,Prakasam,2021,1,22.8,21.2,56.5
Andhra Pradesh,Prakasam,2021,2,84.8,22.2,67.1
Andhra Pradesh,Prakasam,2021,3,0.0,26.8,66.5
Andhra Pradesh,Prakasam,2021,4,15.5,31.5,63.9
Andhra Pradesh,Prakasam,2021,5,12.3,26.7,47.8
Andhra Pradesh,Prakasam,2021,6,67.4,28.9,67.8
Andhra Pradesh,Prakasam,2021,7,78.2,21.1,68.8
Andhra Pradesh,Prakasam,2021,8,83.6,24.5,70.4
Andhra Pradesh,Prakasam,2021,9,12.4,21.2,73.4
Andhra Pradesh,Prakasam,2021,10,7.3,18.7,43.4
Andhra Pradesh,Prakasam,2021,11,112.0,23.2,77.3
Andhra Pradesh,Prakasam,2021,12,29.2,23.8,61.2
Andhra Pradesh,Prakasam,2022,1,0.0,21.4,51.1
Andhra Pradesh,Prakasam,2022,2,0.0,23.5,61.8
Andhra Pradesh,Prakasam,2022,3,29.6,31.3,56.6
Andhra Pradesh,Prakasam,2022,4,59.7,27.8,63.3
Andhra Pradesh,Prakasam,2022,5,76.8,26.2,70.8
Andhra Pradesh,Prakasam,2022,6,126.9,30.1,58.7
Andhra Pradesh,Prakasam,2022,7,136.8,22.6,74.5
Andhra Pradesh,Prakasam,2022,8,118.7,27.0,58.4
Andhra Pradesh,Prakasam,2022,9,120.6,27.7,69.5
Andhra Pradesh,Prakasam,2022,10,0.0,27.3,55.9
Andhra Pradesh,Prakasam,2022,11,0.0,22.8,50.8
Andhra Pradesh,Prakasam,2022,12,77.7,28.3,78.6
Andhra Pradesh,Prakasam,2023,1,33.1,27.3,45.9
Andhra Pradesh,Prakasam,2023,2,25.2,26.1,46.4
Andhra Pradesh,Prakasam,2023,3,32.3,32.2,59.5
Andhra Pradesh,Prakasam,2023,4,57.1,21.9,80.5
Andhra Pradesh,Prakasam,2023,5,18.5,26.1,53.6
Andhra Pradesh,Prakasam,2023,6,48.0,30.6,52.3
Andhra Pradesh,Prakasam,2023,7,74.1,24.6,76.9
Andhra Pradesh,Prakasam,2023,8,104.6,21.5,71.7
Andhra Pradesh,Prakasam,2023,9,67.5,19.6,80.0
Andhra Pradesh,Prakasam,2023,10,41.0,24.8,52.2
Andhra Pradesh,Prakasam,2023,11,73.9,32.7,71.6
Andhra Pradesh,Prakasam,2023,12,0.0,24.6,58.4
Andhra Pradesh,Prakasam,2024,1,0.0,25.8,58.5
Andhra Pradesh,Prakasam,2024,2,71.4,28.1,68.9
Andhra Pradesh,Prakasam,2024,3,78.0,33.1,68.2
Andhra Pradesh,Prakasam,2024,4,39.6,23.6,43.4
Andhra Pradesh,Prakasam,2024,5,0.0,26.9,46.2
Andhra Pradesh,Prakasam,2024,6,98.7,27.0,76.6
Andhra Pradesh,Prakasam,2024,7,83.4,19.3,69.0
Andhra Pradesh,Prakasam,2024,8,99.5,22.8,68.8
Andhra Pradesh,Prakasam,2024,9,62.4,25.8,89.1
Andhra Pradesh,Prakasam,2024,10,0.0,23.7,49.6
Andhra Pradesh,Prakasam,2024,11,9.8,27.5,59.3
Andhra Pradesh,Prakasam,2024,12,54.7,25.1,57.4
Andhra Pradesh,Prakasam,2025,1,0.0,26.9,56.4
Andhra Pradesh,Prakasam,2025,2,69.1,25.7,58.5
Andhra Pradesh,Prakasam,2025,3,6.7,29.4,60.7
Andhra Pradesh,Prakasam,2025,4,54.9,25.4,58.4
Andhra Pradesh,Prakasam,2025,5,18.4,31.6,49.4
Andhra Pradesh,Prakasam,2025,6,115.9,29.1,74.1
Andhra Pradesh,Prakasam,2025,7,158.3,28.9,63.2
Andhra Pradesh,Prakasam,2025,8,26.6,23.3,55.6
Andhra Pradesh,Prakasam,2025,9,87.3,29.9,68.2
Andhra Pradesh,Prakasam,2025,10,47.9,25.5,52.2
Andhra Pradesh,Prakasam,2025,11,0.0,24.8,81.0
Andhra Pradesh,Prakasam,2025,12,0.0,20.5,70.5
Telangana,Nalgonda,2020,1,51.0,25.5,78.9
Telangana,Nalgonda,2020,2,0.0,24.7,62.6
Telangana,Nalgonda,2020,3,98.9,25.1,78.2
Telangana,Nalgonda,2020,4,38.4,28.4,54.9
Telangana,Nalgonda,2020,5,0.0,30.4,48.7
Telangana,Nalgonda,2020,6,62.2,30.2,74.3
Telangana,Nalgonda,2020,7,102.8,27.7,79.4
Telangana,Nalgonda,2020,8,145.8,23.7,76.1
Telangana,Nalgonda,2020,9,107.4,29.3,67.0
Telangana,Nalgonda,2020,10,12.5,23.5,56.5
Telangana,Nalgonda,2020,11,41.3,26.2,57.8
Telangana,Nalgonda,2020,12,48.5,24.4,48.0
Telangana,Nalgonda,2021,1,0.0,27.4,58.8
Telangana,Nalgonda,2021,2,0.0,27.7,70.0
Telangana,Nalgonda,2021,3,0.0,28.8,51.2
Telangana,Nalgonda,2021,4,47.0,25.1,54.4
Telangana,Nalgonda,2021,5,59.3,31.1,71.4
Telangana,Nalgonda,2021,6,88.1,24.0,61.9
Telangana,Nalgonda,2021,7,83.6,23.3,68.5
Telangana,Nalgonda,2021,8,88.0,25.4,77.6
Telangana,Nalgonda,2021,9,85.8,21.5,62.4
Telangana,Nalgonda,2021,10,45.4,26.7,58.2
Telangana,Nalgonda,2021,11,70.5,24.5,84.4
Telangana,Nalgonda,2021,12,53.6,18.7,82.4
Telangana,Nalgonda,2022,1,0.0,22.4,59.2
Telangana,Nalgonda,2022,2,0.0,23.3,67.5
Telangana,Nalgonda,2022,3,44.5,30.0,49.7
Telangana,Nalgonda,2022,4,0.0,29.8,62.4
Telangana,Nalgonda,2022,5,56.0,28.5,60.3
Telangana,Nalgonda,2022,6,185.3,29.2,66.6
Telangana,Nalgonda,2022,7,94.1,25.4,76.6
Telangana,Nalgonda,2022,8,106.6,27.1,69.2
Telangana,Nalgonda,2022,9,96.1,26.6,72.8
Telangana,Nalgonda,2022,10,19.1,23.1,57.7
Telangana,Nalgonda,2022,11,27.7,23.6,48.3
Telangana,Nalgonda,2022,12,39.4,26.4,52.1
Telangana,Nalgonda,2023,1,4.7,22.9,58.1
Telangana,Nalgonda,2023,2,0.0,30.6,51.7
Telangana,Nalgonda,2023,3,0.0,27.9,54.4
Telangana,Nalgonda,2023,4,63.9,28.7,61.3
Telangana,Nalgonda,2023,5,15.0,28.8,37.7
Telangana,Nalgonda,2023,6,146.9,25.9,79.3
Telangana,Nalgonda,2023,7,113.7,26.6,77.2
Telangana,Nalgonda,2023,8,120.1,26.7,66.7
Telangana,Nalgonda,2023,9,113.0,23.5,65.3
Telangana,Nalgonda,2023,10,93.8,23.0,69.2
Telangana,Nalgonda,2023,11,29.0,24.2,59.1
Telangana,Nalgonda,2023,12,45.6,22.7,55.8
Telangana,Nalgonda,2024,1,0.0,27.0,56.4
Telangana,Nalgonda,2024,2,27.9,26.6,52.8
Telangana,Nalgonda,2024,3,57.0,25.6,79.3
Telangana,Nalgonda,2024,4,5.7,23.8,52.4
Telangana,Nalgonda,2024,5,9.5,27.2,56.9
Telangana,Nalgonda,2024,6,138.4,27.5,62.5
Telangana,Nalgonda,2024,7,60.6,23.8,52.9
Telangana,Nalgonda,2024,8,74.6,28.1,61.4
Telangana,Nalgonda,2024,9,122.0,21.9,82.2
Telangana,Nalgonda,2024,10,89.3,26.5,83.9
Telangana,Nalgonda,2024,11,37.5,26.9,65.1
Telangana,Nalgonda,2024,12,31.3,21.1,61.3
Telangana,Nalgonda,2025,1,8.5,24.0,57.4
Telangana,Nalgonda,2025,2,44.8,25.4,60.1
Telangana,Nalgonda,2025,3,0.3,27.9,61.8
Telangana,Nalgonda,2025,4,87.0,33.3,71.5
Telangana,Nalgonda,2025,5,54.4,33.0,62.6
Telangana,Nalgonda,2025,6,122.0,29.9,79.6
Telangana,Nalgonda,2025,7,60.2,22.7,68.2
Telangana,Nalgonda,2025,8,113.2,27.8,72.1
Telangana,Nalgonda,2025,9,94.7,26.0,70.4
Telangana,Nalgonda,2025,10,86.1,25.4,64.9
Telangana,Nalgonda,2025,11,40.7,25.5,42.4
Telangana,Nalgonda,2025,12,24.5,24.7,50.6
Telangana,Warangal,2020,1,61.2,23.0,71.6
Telangana,Warangal,2020,2,19.8,25.3,58.3
Telangana,Warangal,2020,3,0.0,28.5,73.3
Telangana,Warangal,2020,4,0.0,27.9,64.0
Telangana,Warangal,2020,5,35.6,29.7,36.0
Telangana,Warangal,2020,6,120.9,26.1,70.5
Telangana,Warangal,2020,7,99.0,30.7,72.4
Telangana,Warangal,2020,8,96.1,21.2,69.0
Telangana,Warangal,2020,9,128.8,24.8,64.0
Telangana,Warangal,2020,10,5.0,26.3,61.1
Telangana,Warangal,2020,11,72.6,22.5,72.2
Telangana,Warangal,2020,12,20.7,24.8,58.2
Telangana,Warangal,2021,1,39.3,26.3,46.5
Telangana,Warangal,2021,2,0.0,28.7,53.2
Telangana,Warangal,2021,3,35.7,30.6,58.7
Telangana,Warangal,2021,4,44.1,30.2,38.1
Telangana,Warangal,2021,5,7.9,29.2,66.1
Telangana,Warangal,2021,6,102.3,25.9,61.5
Telangana,Warangal,2021,7,130.9,24.5,67.9
Telangana,Warangal,2021,8,121.5,17.7,84.0
Telangana,Warangal,2021,9,74.4,25.6,54.4
Telangana,Warangal,2021,10,10.2,28.1,39.7
Telangana,Warangal,2021,11,64.4,24.3,71.9
Telangana,Warangal,2021,12,48.0,26.1,48.1
Telangana,Warangal,2022,1,12.2,21.3,58.9
Telangana,Warangal,2022,2,84.6,20.4,61.9
Telangana,Warangal,2022,3,18.6,28.4,62.0
Telangana,Warangal,2022,4,19.7,27.2,63.8
Telangana,Warangal,2022,5,48.2,29.3,55.9
Telangana,Warangal,2022,6,134.4,26.4,61.7
Telangana,Warangal,2022,7,126.1,20.9,68.7
Telangana,Warangal,2022,8,88.9,21.5,60.5
Telangana,Warangal,2022,9,96.2,27.6,62.8
Telangana,Warangal,2022,10,67.5,25.2,78.5
Telangana,Warangal,2022,11,3.8,24.9,57.9
Telangana,Warangal,2022,12,18.7,27.4,37.3
Telangana,Warangal,2023,1,109.8,27.1,66.6
Telangana,Warangal,2023,2,5.7,22.8,60.2
Telangana,Warangal,2023,3,59.8,27.6,76.9
Telangana,Warangal,2023,4,0.0,25.3,69.5
Telangana,Warangal,2023,5,45.7,31.5,48.2
Telangana,Warangal,2023,6,67.7,27.1,61.4
Telangana,Warangal,2023,7,124.7,23.1,58.6
Telangana,Warangal,2023,8,105.0,21.8,53.6
Telangana,Warangal,2023,9,104.7,20.6,74.2
Telangana,Warangal,2023,10,0.0,19.4,52.6
Telangana,Warangal,2023,11,30.1,26.2,56.4
Telangana,Warangal,2023,12,0.0,26.8,62.7
Telangana,Warangal,2024,1,0.0,24.5,52.8
Telangana,Warangal,2024,2,32.7,24.5,54.5
Telangana,Warangal,2024,3,47.5,25.2,60.9
Telangana,Warangal,2024,4,64.9,32.1,50.9
Telangana,Warangal,2024,5,18.6,23.1,35.5
Telangana,Warangal,2024,6,105.0,27.0,70.4
Telangana,Warangal,2024,7,117.0,28.1,68.4
Telangana,Warangal,2024,8,202.3,25.8,82.7
Telangana,Warangal,2024,9,18.4,28.4,53.6
Telangana,Warangal,2024,10,0.0,26.1,52.6
Telangana,Warangal,2024,11,45.3,27.5,43.1
Telangana,Warangal,2024,12,60.5,25.0,78.8
Telangana,Warangal,2025,1,17.8,23.8,55.2
Telangana,Warangal,2025,2,28.6,23.3,51.0
Telangana,Warangal,2025,3,0.0,26.9,60.4
Telangana,Warangal,2025,4,20.2,30.5,53.5
Telangana,Warangal,2025,5,0.0,29.5,49.6
Telangana,Warangal,2025,6,91.8,31.1,58.7
Telangana,Warangal,2025,7,105.8,24.9,73.6
Telangana,Warangal,2025,8,129.9,25.7,65.1
Telangana,Warangal,2025,9,116.6,28.3,67.8
Telangana,Warangal,2025,10,15.6,26.0,55.3
Telangana,Warangal,2025,11,0.0,25.6,44.2
Telangana,Warangal,2025,12,38.1,23.0,55.3
Telangana,Karimnagar,2020,1,38.7,31.1,60.9
Telangana,Karimnagar,2020,2,72.8,29.7,71.9
Telangana,Karimnagar,2020,3,35.0,25.3,54.1
Telangana,Karimnagar,2020,4,0.0,27.0,70.0
Telangana,Karimnagar,2020,5,29.0,25.8,66.0
Telangana,Karimnagar,2020,6,133.4,30.5,52.0
Telangana,Karimnagar,2020,7,168.2,23.6,74.2
Telangana,Karimnagar,2020,8,188.3,30.4,60.2
Telangana,Karimnagar,2020,9,49.4,28.6,56.1
Telangana,Karimnagar,2020,10,7.5,26.6,53.7
Telangana,Karimnagar,2020,11,49.5,25.2,60.8
Telangana,Karimnagar,2020,12,0.0,28.6,60.6
Telangana,Karimnagar,2021,1,47.6,22.2,68.6
Telangana,Karimnagar,2021,2,24.5,26.8,52.4
Telangana,Karimnagar,2021,3,34.1,28.7,32.4
Telangana,Karimnagar,2021,4,45.4,32.9,59.3
Telangana,Karimnagar,2021,5,0.0,29.6,63.5
Telangana,Karimnagar,2021,6,117.9,27.8,66.1
