State,District,Year,Annual_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_Percent,Max_Temperature_C,Min_Temperature_C,Risk_Score,Weather_Risk
Maharashtra,Pune,2022,619.4,25.575,63.11666666666667,31.1,22.0,1,Low
Maharashtra,Pune,2023,621.3,26.883333333333336,66.75,31.0,19.1,1,Low
Maharashtra,Pune,2024,897.8,24.708333333333332,62.19166666666666,28.4,19.1,0,Low
Maharashtra,Pune,2025,717.3,24.891666666666666,65.22500000000001,27.6,20.8,0,Low
Telangana,Karimnagar,2020,771.8,27.7,61.708333333333336,31.1,23.6,0,Low
Telangana,Karimnagar,2021,589.0,26.55,59.074999999999996,32.9,20.4,1,Low
Telangana,Karimnagar,2022,737.7,25.041666666666668,65.09166666666667,29.1,18.9,0,Low
Telangana,Karimnagar,2023,776.3000000000001,25.25,60.11666666666667,29.0,19.8,0,Low
Telangana,Karimnagar,2024,603.2,27.608333333333334,63.68333333333334,33.6,23.7,1,Low
Telangana,Karimnagar,2025,762.9,25.95,66.23333333333333,28.0,22.8,0,Low
Telangana,Khammam,2020,667.0,26.516666666666666,63.916666666666664,34.9,20.7,1,Low
Telangana,Khammam,2021,550.1,26.925,63.199999999999996,34.0,21.3,1,Low
Telangana,Khammam,2022,612.7,25.724999999999998,62.88333333333333,31.1,17.7,1,Low
Telangana,Khammam,2023,659.9,25.208333333333332,60.75833333333333,28.4,19.9,1,Low
Telangana,Khammam,2024,576.0,26.208333333333332,60.10833333333333,31.7,21.9,1,Low
Telangana,Khammam,2025,645.1,26.566666666666666,56.84166666666667,31.8,22.4,1,Low
Telangana,Nalgonda,2020,708.8000000000001,26.59166666666667,65.2,30.4,23.5,0,Low
Telangana,Nalgonda,2021,621.3,25.349999999999998,66.76666666666667,31.1,18.7,1,Low
Telangana,Nalgonda,2022,668.8,26.28333333333333,61.86666666666667,30.0,22.4,1,Low
Telangana,Nalgonda,2023,745.7,25.958333333333332,61.31666666666666,30.6,22.7,0,Low
Telangana,Nalgonda,2024,653.8,25.5,63.925000000000004,28.1,21.1,1,Low
Telangana,Nalgonda,2025,736.4,27.13333333333333,63.46666666666667,33.3,22.7,0,Low
Telangana,Warangal,2020,659.7,25.900000000000002,64.21666666666667,30.7,21.2,1,Low
Telangana,Warangal,2021,678.7,26.433333333333334,57.50833333333333,30.6,17.7,1,Low
Telangana,Warangal,2022,718.9,25.041666666666668,60.824999999999996,29.3,20.4,0,Low
Telangana,Warangal,2023,653.2,24.941666666666666,61.74166666666667,31.5,19.4,1,Low
Telangana,Warangal,2024,712.2,26.441666666666666,58.68333333333334,32.1,23.1,0,Low
Telangana,Warangal,2025,564.4,26.55,57.475,31.1,23.0,1,Low
