Year,Area_Hectares,Annual_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_Percent,Avg_Modal_Price,Yield_Tonnes_Per_Hectare,Rainfall_per_Hectare,Price_Yield_Ratio,Years_From_2020,State_Karnataka,State_Maharashtra,State_Telangana,District_Dharwad,District_Guntur,District_Karimnagar,District_Khammam,District_Krishna,District_Kurnool,District_Mysuru,District_Nagpur,District_Nalgonda,District_Nashik,District_Prakasam,District_Pune,District_Warangal,Crop_Cotton,Crop_Groundnut,Crop_Maize,Crop_Rice
2025,17685,387.9,26.416666666666668,53.95,11328.0075,2.042,0.02193384223918575,5547.50612144956,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,26518,683.9,25.991666666666664,60.98333333333333,2198.2658333333334,3.938,0.025790029413982955,558.2188505163365,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2021,29242,440.3,25.816666666666663,59.44166666666666,2265.330833333333,4.137,0.015057109636823747,547.5781564740955,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2022,13755,738.4,26.625,59.38333333333333,2301.5716666666667,4.596,0.05368229734641948,500.77712503626344,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2023,19820,526.5,25.991666666666664,55.80833333333334,2357.0816666666665,3.751,0.026564076690211907,628.387541100151,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2024,24626,505.2,26.8,58.34166666666667,2447.8608333333336,4.633,0.02051490294810363,528.3532987984747,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2025,27299,686.2,26.59166666666667,68.375,2483.7175,4.41,0.025136451884684424,563.2012471655329,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2020,18931,683.9,25.991666666666664,60.98333333333333,1863.0208333333333,4.036,0.0361259310126248,461.60080112322436,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2021,20707,440.3,25.816666666666663,59.44166666666666,2012.5325,3.837,0.021263340899212828,524.5067761271827,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2022,6306,738.4,26.625,59.38333333333333,1978.795,3.905,0.11709483032032984,506.73367477592836,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2023,27248,526.5,25.991666666666664,55.80833333333334,2010.0641666666668,3.551,0.019322519083969467,566.055805876279,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2024,10530,505.2,26.8,58.34166666666667,2125.9516666666664,3.497,0.047977207977207975,607.9358497759985,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2025,18545,686.2,26.59166666666667,68.375,2147.62,3.822,0.037001887301159345,561.9099947671376,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2020,22879,683.9,25.991666666666664,60.98333333333333,6642.115000000001,2.319,0.029892040736046156,2864.2151789564473,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2021,18808,440.3,25.816666666666663,59.44166666666666,6871.923333333333,1.776,0.02341025095703956,3869.326201201201,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2022,16649,738.4,26.625,59.38333333333333,6948.923333333333,2.108,0.044351012072797166,3296.4531941808978,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2023,22082,526.5,25.991666666666664,55.80833333333334,7552.014166666667,2.724,0.023842949008242006,2772.398739598629,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2024,18877,505.2,26.8,58.34166666666667,7684.029166666667,2.028,0.02676272712825131,3788.969017094017,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2025,27912,686.2,26.59166666666667,68.375,7651.336666666666,1.914,0.024584408139868157,3997.5635667014976,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2020,23091,683.9,25.991666666666664,60.98333333333333,5696.552500000001,2.19,0.029617599930708935,2601.1655251141556,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2021,9931,440.3,25.816666666666663,59.44166666666666,5740.384999999999,2.198,0.044335917833048036,2611.640127388535,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2022,17688,738.4,26.625,59.38333333333333,5890.795833333334,2.634,0.04174581637268204,2236.4448873702863,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2023,24315,526.5,25.991666666666664,55.80833333333334,6167.135833333334,2.448,0.021653300431832202,2519.2548338779957,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2024,16774,505.2,26.8,58.34166666666667,6269.276666666668,2.12,0.030118039823536426,2957.205974842768,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2025,20708,686.2,26.59166666666667,68.375,6278.838333333333,2.556,0.033136951902646324,2456.5095200834635,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2020,19243,683.9,25.991666666666664,60.98333333333333,10466.426666666666,1.71,0.0355401964350673,6120.717348927875,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2021,13338,440.3,25.816666666666663,59.44166666666666,11132.291666666666,1.632,0.033010946168840906,6821.257148692811,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022,13680,738.4,26.625,59.38333333333333,10985.365,2.059,0.053976608187134505,5335.2914035939775,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2023,7385,526.5,25.991666666666664,55.80833333333334,11475.014166666668,2.099,0.07129316181448883,5466.895744005082,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2024,13120,505.2,26.8,58.34166666666667,11509.445833333331,1.889,0.03850609756097561,6092.877624845596,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2025,19075,686.2,26.59166666666667,68.375,11943.165833333333,1.59,0.0359737876802097,7511.4250524109,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2020,10423,666.8000000000001,25.4,61.01666666666667,2221.4133333333334,4.334,0.0639739038664492,512.5549915397631,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2021,12158,656.2,26.191666666666663,59.325,2328.468333333333,3.697,0.05397269287711795,629.8264358488864,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2022,20151,805.3,26.21666666666667,61.275,2353.1625,4.242,0.039963277256711824,554.7294908062235,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2023,27581,550.9,26.9,57.15,2271.5791666666664,4.591,0.01997389507269497,494.7896246278951,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2024,17874,666.6,25.916666666666668,61.60833333333334,2490.0216666666665,4.767,0.03729439409197718,522.3456401650234,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025,7557,694.3,25.5,61.24166666666667,2410.188333333333,3.789,0.09187508270477703,636.1014339755432,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2020,16969,666.8000000000001,25.4,61.01666666666667,1908.6083333333331,4.278,0.03929518533796924,446.1450054542621,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2021,18992,656.2,26.191666666666663,59.325,1949.6675,3.607,0.0345513900589722,540.523288051012,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2022,27399,805.3,26.21666666666667,61.275,1987.275,4.161,0.029391583634439212,477.59552992069223,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2023,9735,550.9,26.9,57.15,2030.986666666667,3.715,0.056589625064201336,546.6989681471513,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2024,13050,666.6,25.916666666666668,61.60833333333334,2122.3316666666665,3.795,0.051080459770114946,559.2441809398331,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025,23077,694.3,25.5,61.24166666666667,2131.2658333333334,3.874,0.030086233045889844,550.1460591980726,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2020,15677,666.8000000000001,25.4,61.01666666666667,6858.3675,2.298,0.04253364801939147,2984.494125326371,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2021,20636,656.2,26.191666666666663,59.325,7067.378333333333,2.506,0.03179879821670867,2820.182894386805,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2022,14151,805.3,26.21666666666667,61.275,7170.0,2.174,0.05690763903611052,3298.068077276909,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2023,14007,550.9,26.9,57.15,7300.544166666667,2.071,0.039330334832583705,3525.1299694189597,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2024,23589,666.6,25.916666666666668,61.60833333333334,7536.115000000001,2.268,0.02825893424901437,3322.8020282186953,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025,17468,694.3,25.5,61.24166666666667,7544.901666666666,2.16,0.03974696588046714,3493.010030864197,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2020,5190,666.8000000000001,25.4,61.01666666666667,5683.427500000001,2.118,0.12847784200385357,2683.393531633617,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2021,22568,656.2,26.191666666666663,59.325,5820.4325,2.142,0.029076568592697628,2717.2887488328665,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2022,6816,805.3,26.21666666666667,61.275,5788.608333333334,2.47,0.11814847417840375,2343.5661268556005,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2023,10442,550.9,26.9,57.15,6092.965,2.315,0.052758092319479026,2631.950323974082,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2024,12455,666.6,25.916666666666668,61.60833333333334,6152.884999999999,2.587,0.05352067442794059,2378.386161577116,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025,29190,694.3,25.5,61.24166666666667,6229.451666666667,2.561,0.023785542994176085,2432.4293895613696,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2020,5784,666.8000000000001,25.4,61.01666666666667,10720.946666666669,2.308,0.11528354080221301,4645.124205661468,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2021,10801,656.2,26.191666666666663,59.325,10702.715,2.001,0.06075363392278493,5348.68315842079,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022,15647,805.3,26.21666666666667,61.275,10793.3425,2.021,0.05146673483734901,5340.595002474023,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2023,29376,550.9,26.9,57.15,11327.079166666668,1.758,0.01875340413943355,6443.162210845659,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2024,17039,666.6,25.916666666666668,61.60833333333334,11483.0325,2.096,0.03912201420271143,5478.546040076335,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025,27386,694.3,25.5,61.24166666666667,11856.828333333331,1.263,0.02535236982399766,9387.829242544205,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2020,18121,775.1,26.258333333333336,68.375,2214.4991666666665,4.296,0.0427735776171293,515.4793218497827,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2021,25530,525.5,24.15,63.675,2249.2541666666666,4.057,0.020583627105366237,554.4131542190452,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2022,22532,746.8,26.33333333333333,62.5,2351.9325,4.256,0.0331439730161548,552.6157189849623,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2023,14907,575.3,26.0,62.41666666666666,2317.5175,4.028,0.03859260749983229,575.3519116186693,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2024,19599,597.5,25.725,62.91666666666666,2403.9,4.27,0.030486249298433594,562.9742388758783,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025,21388,585.1,26.75,62.35,2452.4308333333333,4.332,0.027356461567233963,566.1197676208064,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2020,28411,775.1,26.258333333333336,68.375,1874.5866666666668,3.848,0.027281686670655732,487.15869715869724,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2021,12079,525.5,24.15,63.675,1878.4991666666667,3.563,0.04350525705770345,527.2240153428759,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2022,26136,746.8,26.33333333333333,62.5,2046.5191666666667,3.119,0.028573614937251298,656.1459335257026,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2023,10177,575.3,26.0,62.41666666666666,2033.2383333333332,4.107,0.05652942910484425,495.06655303952596,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024,6081,597.5,25.725,62.91666666666666,2085.459166666667,3.992,0.09825686564709751,522.4096108884436,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025,18407,585.1,26.75,62.35,2133.681666666667,4.148,0.03178682023143369,514.3880585020894,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2020,17775,775.1,26.258333333333336,68.375,6626.4725,2.27,0.043606188466947964,2919.1508810572686,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2021,18500,525.5,24.15,63.675,6976.06,2.566,0.028405405405405405,2718.6515978176153,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2022,20125,746.8,26.33333333333333,62.5,7153.881666666667,1.992,0.03710807453416149,3591.3060575635877,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2023,12253,575.3,26.0,62.41666666666666,7247.521666666666,2.356,0.046951766914225083,3076.1976513865307,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2024,16151,597.5,25.725,62.91666666666666,7577.468333333333,1.864,0.0369946133366355,4065.1654148783973,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025,28805,585.1,26.75,62.35,7716.040833333333,1.496,0.02031244575594515,5157.781305704099,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2020,28049,775.1,26.258333333333336,68.375,5698.545833333334,2.589,0.027633783735605547,2201.0605767992793,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2021,14207,525.5,24.15,63.675,5751.69,2.378,0.0369888083339199,2418.708999158957,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2022,24223,746.8,26.33333333333333,62.5,5940.259999999999,2.68,0.030830202699913305,2216.514925373134,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2023,5851,575.3,26.0,62.41666666666666,6194.689166666667,2.455,0.09832507263715604,2523.294976238968,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2024,7427,597.5,25.725,62.91666666666666,6134.495833333333,2.364,0.08044971051568602,2594.9643965031023,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025,27116,585.1,26.75,62.35,6255.087500000001,2.671,0.02157766632246644,2341.852302508424,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2020,18479,775.1,26.258333333333336,68.375,10533.2575,1.784,0.04194491043887656,5904.292320627803,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2021,28132,525.5,24.15,63.675,10862.5825,1.93,0.018679795250959762,5628.281088082902,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022,8267,746.8,26.33333333333333,62.5,11167.583333333334,1.986,0.09033506713438974,5623.153742866734,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2023,16338,575.3,26.0,62.41666666666666,11456.515833333331,1.996,0.035212388297221196,5739.737391449565,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2024,28548,597.5,25.725,62.91666666666666,11680.37,1.544,0.020929662323104947,7565.006476683938,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025,23888,585.1,26.75,62.35,11553.153333333334,2.484,0.024493469524447423,4651.027911969941,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2020,22506,708.8000000000001,26.59166666666667,65.2,2177.318333333333,3.645,0.03149382386919044,597.3438500228623,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2021,7143,621.3,25.35,66.76666666666667,2232.3275,4.226,0.08698026039479209,528.2365120681495,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2022,17043,668.8,26.28333333333333,61.86666666666667,2320.373333333333,4.308,0.03924191750278706,538.6196224079232,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2023,19552,745.7,25.95833333333333,61.31666666666666,2328.3166666666666,3.777,0.03813932078559738,616.4460330067955,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2024,17144,653.8,25.5,63.925,2426.255,4.388,0.03813579094727018,552.9295806745671,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025,22749,736.4,27.13333333333333,63.46666666666667,2462.0641666666666,4.043,0.03237065365510572,608.9696182702613,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2020,18923,708.8000000000001,26.59166666666667,65.2,1955.4616666666668,3.609,0.03745706283358876,541.8292232382008,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2021,22101,621.3,25.35,66.76666666666667,1907.8908333333327,4.278,0.028111850142527487,445.9772868941872,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2022,10486,668.8,26.28333333333333,61.86666666666667,2016.235,4.493,0.0637802784665268,448.7502782105497,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2023,26972,745.7,25.95833333333333,61.31666666666666,2051.425833333333,4.075,0.027647189678184785,503.41738241308775,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2024,6062,653.8,25.5,63.925,2139.034166666667,3.574,0.10785219399538105,598.4986476403657,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025,16174,736.4,27.13333333333333,63.46666666666667,2165.218333333333,4.264,0.04552986274267343,507.79041588492794,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2020,29394,708.8000000000001,26.59166666666667,65.2,6828.455833333333,2.525,0.024113764713887192,2704.3389438943896,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2021,16516,621.3,25.35,66.76666666666667,6866.999166666667,2.36,0.037618067328651,2909.7454096045203,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2022,22575,668.8,26.28333333333333,61.86666666666667,7221.071666666667,2.092,0.029625692137320043,3451.7550987890377,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2023,26925,745.7,25.95833333333333,61.31666666666666,7442.465833333333,2.142,0.02769545032497679,3474.540538437597,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2024,12494,653.8,25.5,63.925,7432.208333333333,1.946,0.05232911797662878,3819.223192874272,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025,11588,736.4,27.13333333333333,63.46666666666667,7466.624166666667,2.087,0.06354849844666896,3577.6828781344834,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2020,27361,708.8000000000001,26.59166666666667,65.2,5633.816666666667,1.83,0.025905485910602686,3078.588342440801,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2021,25652,621.3,25.35,66.76666666666667,5853.1825,2.325,0.024220333697177607,2517.497849462365,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022,28003,668.8,26.28333333333333,61.86666666666667,5860.570833333334,2.625,0.02388315537620969,2232.598412698413,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2023,15150,745.7,25.95833333333333,61.31666666666666,5959.671666666666,2.856,0.049221122112211226,2086.71977124183,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2024,5504,653.8,25.5,63.925,6137.3775,1.987,0.11878633720930232,3088.765727226975,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
